Date,Industrial Blue WF_Panching Area
1/1/2015,1058.1860
1/2/2015,782.5996
1/3/2015,1299.0294
1/4/2015,528.7070
1/5/2015,1103.0690
1/6/2015,450.6973
1/7/2015,511.5997
1/8/2015,406.0979
1/9/2015,141.2485
1/10/2015,670.3617
1/11/2015,1297.0414
1/12/2015,567.6028
1/13/2015,167.2084
1/14/2015,692.4084
1/15/2015,874.3776
1/16/2015,1002.3032
1/17/2015,895.7875
1/18/2015,844.1442
1/19/2015,1188.4670
1/20/2015,934.6114
1/21/2015,765.0530
1/22/2015,641.0673
1/23/2015,470.3009
1/24/2015,232.9694
1/25/2015,968.0931
1/26/2015,515.9375
1/27/2015,409.2946
1/28/2015,135.7611
1/29/2015,557.6226
1/30/2015,779.4438
1/31/2015,768.9088
2/1/2015,187.0579
2/2/2015,415.0513
2/3/2015,295.1550
2/4/2015,365.2142
2/5/2015,269.4887
2/6/2015,480.8148
2/7/2015,512.3839
2/8/2015,577.2334
2/9/2015,361.3481
2/10/2015,105.8025
2/11/2015,419.0973
2/12/2015,267.3953
2/13/2015,219.5610
2/14/2015,680.9467
2/15/2015,518.3541
2/16/2015,570.2711
2/17/2015,402.6128
2/18/2015,713.7382
2/19/2015,424.5830
2/20/2015,388.9769
2/21/2015,84.3627
2/22/2015,159.5898
2/23/2015,654.6584
2/24/2015,621.3547
2/25/2015,77.7392
2/26/2015,190.2758
2/27/2015,454.3036
2/28/2015,713.6297
3/1/2015,659.9921
3/2/2015,167.9629
3/3/2015,644.5448
3/4/2015,694.5162
3/5/2015,285.2117
3/6/2015,242.1962
3/7/2015,668.1212
3/8/2015,489.3075
3/9/2015,48.6543
3/10/2015,656.3688
3/11/2015,565.4271
3/12/2015,353.8316
3/13/2015,528.3129
3/14/2015,308.6259
3/15/2015,402.2669
3/16/2015,132.6493
3/17/2015,179.8024
3/18/2015,498.5345
3/19/2015,345.5640
3/20/2015,49.7178
3/21/2015,267.9103
3/22/2015,485.3264
3/23/2015,706.8914
3/24/2015,435.3501
3/25/2015,217.6899
3/26/2015,253.1105
3/27/2015,692.8064
3/28/2015,710.8999
3/29/2015,168.4938
3/30/2015,765.3768
3/31/2015,203.5366
4/1/2015,417.1927
4/2/2015,808.0779
4/3/2015,541.0764
4/4/2015,256.2083
4/5/2015,56.3154
4/6/2015,315.7161
4/7/2015,139.8263
4/8/2015,619.3073
4/9/2015,91.3601
4/10/2015,699.9181
4/11/2015,345.9901
4/12/2015,461.8846
