Date,Industrial Blue WF_Semambu Area
1/1/2015,33190.6649
1/2/2015,20885.9769
1/3/2015,89064.9272
1/4/2015,71031.0310
1/5/2015,12204.0191
1/6/2015,114983.1903
1/7/2015,147421.0800
1/8/2015,120646.0837
1/9/2015,11203.8800
1/10/2015,43288.1779
1/11/2015,18839.4257
1/12/2015,13074.9183
1/13/2015,14556.2639
1/14/2015,87668.0748
1/15/2015,90899.4842
1/16/2015,26357.6649
1/17/2015,138264.2605
1/18/2015,29815.8326
1/19/2015,135369.7054
1/20/2015,123085.9022
1/21/2015,58939.5276
1/22/2015,102018.5949
1/23/2015,111823.6417
1/24/2015,67373.3903
1/25/2015,30814.6444
1/26/2015,6923.1157
1/27/2015,147125.4055
1/28/2015,62882.1289
1/29/2015,20437.0005
1/30/2015,98885.1791
1/31/2015,89111.8080
2/1/2015,9082.0539
2/2/2015,50685.4690
2/3/2015,36123.7755
2/4/2015,96781.2799
2/5/2015,38781.2387
2/6/2015,21482.4360
2/7/2015,88402.9162
2/8/2015,8061.7396
2/9/2015,40792.4277
2/10/2015,116920.7031
2/11/2015,34486.2762
2/12/2015,43841.9487
2/13/2015,60430.3688
2/14/2015,98912.2468
2/15/2015,49484.5941
2/16/2015,28814.9755
2/17/2015,42661.0062
2/18/2015,109431.4513
2/19/2015,86650.6565
2/20/2015,68302.2992
2/21/2015,85965.6851
2/22/2015,49991.0029
2/23/2015,74668.9285
2/24/2015,128362.5726
2/25/2015,28264.9435
2/26/2015,63788.9585
2/27/2015,54195.3589
2/28/2015,9888.6869
3/1/2015,79209.7084
3/2/2015,19029.1145
3/3/2015,18503.3906
3/4/2015,41218.7218
3/5/2015,46626.8423
3/6/2015,60773.8837
3/7/2015,27713.1479
3/8/2015,102151.5110
3/9/2015,86258.5111
3/10/2015,51690.4035
3/11/2015,14482.1515
3/12/2015,93799.6890
3/13/2015,84599.0639
3/14/2015,74551.4886
3/15/2015,12816.3001
3/16/2015,72798.9229
3/17/2015,81959.1394
3/18/2015,90920.2948
3/19/2015,79586.8505
3/20/2015,72718.3220
3/21/2015,93970.4947
3/22/2015,84971.5843
3/23/2015,58244.3101
3/24/2015,86618.2540
3/25/2015,15989.6666
3/26/2015,43957.2477
3/27/2015,79289.0215
3/28/2015,91383.6850
3/29/2015,72182.2480
3/30/2015,88416.4667
3/31/2015,22605.5638
4/1/2015,38254.3788
4/2/2015,52230.8965
4/3/2015,13362.6713
4/4/2015,98723.8664
4/5/2015,69163.3056
4/6/2015,13092.3128
4/7/2015,68448.0148
4/8/2015,26989.5979
4/9/2015,44078.9838
4/10/2015,57463.5462
4/11/2015,48770.2502
4/12/2015,81285.2220
4/13/2015,38800.0271
4/14/2015,30459.5607
4/15/2015,49455.9857
4/16/2015,79059.5672
4/17/2015,84062.9481
4/18/2015,31621.8650
4/19/2015,47530.9971
4/20/2015,69458.8763
4/21/2015,28394.8354
4/22/2015,80638.2779
4/23/2015,87442.0722
4/24/2015,80866.3129
4/25/2015,11153.4059
4/26/2015,86426.3991
4/27/2015,66580.6531
4/28/2015,72170.2604
4/29/2015,75966.5945
4/30/2015,48874.3151
5/1/2015,32430.6496
5/2/2015,49518.5892
5/3/2015,62754.8095
5/4/2015,56465.0110
5/5/2015,34053.7015
5/6/2015,51056.8843
5/7/2015,22782.2720
5/8/2015,37655.5406
5/9/2015,38993.8093
5/10/2015,96867.4468
5/11/2015,66547.2939
5/12/2015,104421.6083
5/13/2015,92025.1278
5/14/2015,87301.6447
5/15/2015,54474.4036
5/16/2015,86825.3800
5/17/2015,102049.8889
5/18/2015,68181.1866
5/19/2015,27548.6866
5/20/2015,103957.4132
5/21/2015,109688.8016
5/22/2015,35381.5499
5/23/2015,27632.8567
5/24/2015,79576.9291
5/25/2015,92775.6949
5/26/2015,27329.7203
5/27/2015,50387.9192
5/28/2015,35711.7122
5/29/2015,65633.0177
5/30/2015,45506.6705
5/31/2015,36739.7805
6/1/2015,66022.9094
6/2/2015,34602.8108
6/3/2015,50976.1622
6/4/2015,76267.5064
6/5/2015,64916.1967
6/6/2015,16124.1772
6/7/2015,63830.3577
6/8/2015,62216.8972
6/9/2015,62665.1920
6/10/2015,17210.3155
6/11/2015,61808.7412
6/12/2015,16883.4205
6/13/2015,32207.8790
6/14/2015,63208.8447
6/15/2015,20224.8988
6/16/2015,45013.8955
6/17/2015,39250.4529
6/18/2015,14108.4831
6/19/2015,74351.4916
6/20/2015,40651.6871
6/21/2015,13796.2624
6/22/2015,43492.7662
6/23/2015,77866.7453
6/24/2015,29437.1014
6/25/2015,62775.5875
6/26/2015,26019.9890
6/27/2015,58254.3384
6/28/2015,55209.1728
6/29/2015,63199.6680
6/30/2015,41476.0491
7/1/2015,30341.1105
7/2/2015,125164.6235
7/3/2015,54069.6816
7/4/2015,22590.3912
7/5/2015,68433.5972
7/6/2015,34701.1235
7/7/2015,53376.5601
7/8/2015,35491.6735
7/9/2015,24854.2408
7/10/2015,75453.0957
7/11/2015,75424.9404
7/12/2015,28440.9763
7/13/2015,85936.9433
7/14/2015,20875.3589
7/15/2015,12930.0518
7/16/2015,89025.5929
7/17/2015,103731.0912
7/18/2015,113630.1526
7/19/2015,115362.2622
7/20/2015,102480.5770
7/21/2015,123879.7411
7/22/2015,32163.6918
7/23/2015,96035.6334
7/24/2015,107360.9910
7/25/2015,66016.5106
7/26/2015,19333.0193
7/27/2015,16019.1564
7/28/2015,67705.7954
7/29/2015,73907.6197
7/30/2015,63944.6998
7/31/2015,20374.0973
8/1/2015,91994.6684
8/2/2015,82498.6187
8/3/2015,193141.6330
8/4/2015,157496.9137
8/5/2015,181593.8765
8/6/2015,22353.1684
8/7/2015,112849.7034
8/8/2015,165011.0579
8/9/2015,97164.5082
8/10/2015,118036.7979
8/11/2015,108297.8462
8/12/2015,125991.2547
8/13/2015,179341.3111
8/14/2015,117001.3987
8/15/2015,52637.2489
8/16/2015,128638.9475
8/17/2015,147696.8623
8/18/2015,131788.0712
8/19/2015,113621.3404
8/20/2015,106620.8763
8/21/2015,159197.9900
8/22/2015,143957.7010
8/23/2015,65159.5474
8/24/2015,92680.6694
8/25/2015,82025.8060
8/26/2015,130400.4339
8/27/2015,187539.6980
8/28/2015,115782.1688
8/29/2015,84102.3916
8/30/2015,74513.2352
8/31/2015,187507.2550
9/1/2015,78297.3222
9/2/2015,111802.9940
9/3/2015,98895.6387
9/4/2015,39095.7035
9/5/2015,73654.0079
9/6/2015,106040.6321
9/7/2015,43635.7073
9/8/2015,113350.7881
9/9/2015,51694.9751
9/10/2015,113197.7991
9/11/2015,23399.1258
9/12/2015,49352.0944
9/13/2015,11422.4590
9/14/2015,45648.8780
9/15/2015,51954.3096
9/16/2015,50603.3497
9/17/2015,102200.9493
9/18/2015,50083.8731
9/19/2015,77308.0134
9/20/2015,79528.6569
9/21/2015,62527.4439
9/22/2015,67093.9668
9/23/2015,60420.2964
9/24/2015,57331.6647
9/25/2015,31911.4438
9/26/2015,54302.1410
9/27/2015,9621.9620
9/28/2015,29480.7260
9/29/2015,51562.0425
9/30/2015,113200.0356
10/1/2015,81235.2402
10/2/2015,37434.3829
10/3/2015,74469.1510
10/4/2015,33465.8202
10/5/2015,72734.6469
