DATE,Total Industrial Grey WF
1/1/2015,597.2852
1/2/2015,601.8992
1/3/2015,687.5114
1/4/2015,740.8139
1/5/2015,730.5722
1/6/2015,680.4357
1/7/2015,966.4983
1/8/2015,608.4159
1/9/2015,677.1332
1/10/2015,691.3216
1/11/2015,1048.8302
1/12/2015,752.8556
1/13/2015,707.2371
1/14/2015,1005.2768
1/15/2015,655.2017
1/16/2015,687.5114
1/17/2015,972.9543
1/18/2015,596.9852
1/19/2015,926.5287
1/20/2015,1021.6418
1/21/2015,652.4169
1/22/2015,597.2896
1/23/2015,1040.3591
1/24/2015,736.8459
1/25/2015,1021.5420
1/26/2015,599.7002
1/27/2015,671.7657
1/28/2015,968.3403
1/29/2015,972.9543
1/30/2015,650.5877
1/31/2015,622.7002
2/1/2015,4322.1619
2/2/2015,6837.0416
2/3/2015,4389.0006
2/4/2015,4983.6488
2/5/2015,7342.1135
2/6/2015,7489.3134
2/7/2015,6998.5802
2/8/2015,4446.4717
2/9/2015,4171.4329
2/10/2015,6263.1975
2/11/2015,4894.7594
2/12/2015,6976.1086
2/13/2015,4216.6288
2/14/2015,4080.9312
2/15/2015,4895.6594
2/16/2015,7373.6011
2/17/2015,3874.6468
2/18/2015,4540.1848
2/19/2015,5022.0250
2/20/2015,7431.6890
2/21/2015,3978.6260
2/22/2015,4528.5305
2/23/2015,7351.4796
2/24/2015,4300.6254
2/25/2015,4649.4386
2/26/2015,7262.6052
2/27/2015,7431.7390
2/28/2015,4930.2381
3/1/2015,817.2938
3/2/2015,520.4501
3/3/2015,843.1415
3/4/2015,664.4471
3/5/2015,485.9671
3/6/2015,952.1336
3/7/2015,477.8281
3/8/2015,537.2825
3/9/2015,876.7582
3/10/2015,779.4371
3/11/2015,584.8402
3/12/2015,601.7026
3/13/2015,843.2215
3/14/2015,529.2764
3/15/2015,477.8281
3/16/2015,782.9408
3/17/2015,654.8599
3/18/2015,478.8181
3/19/2015,521.4601
3/20/2015,820.8315
3/21/2015,567.5261
3/22/2015,477.8281
3/23/2015,891.6592
3/24/2015,495.9024
3/25/2015,513.4125
3/26/2015,479.7581
3/27/2015,487.0294
3/28/2015,477.8281
3/29/2015,501.0401
3/30/2015,477.8251
3/31/2015,492.7911
4/1/2015,1699.9530
4/2/2015,1610.2863
4/3/2015,1424.4521
4/4/2015,1745.5199
4/5/2015,1618.8881
4/6/2015,2343.3337
4/7/2015,2322.4862
4/8/2015,1729.2588
4/9/2015,1543.4246
4/10/2015,1592.0464
4/11/2015,1408.1910
4/12/2015,1408.1910
4/13/2015,2487.3905
4/14/2015,1424.4521
4/15/2015,1683.6919
4/16/2015,2556.2097
4/17/2015,2336.6894
4/18/2015,1633.8238
4/19/2015,1417.5243
4/20/2015,1618.8881
4/21/2015,2494.3173
4/22/2015,2435.6904
4/23/2015,1674.8687
4/24/2015,1674.8687
4/25/2015,1633.8238
4/26/2015,2475.8773
4/27/2015,2322.4862
4/28/2015,1582.5120
4/29/2015,2460.7747
4/30/2015,1507.1900
5/1/2015,1877.7626
5/2/2015,1179.8246
5/3/2015,1168.4195
5/4/2015,1981.1231
5/5/2015,2138.1362
5/6/2015,1956.8781
5/7/2015,1997.0986
5/8/2015,1247.7349
5/9/2015,1372.5312
5/10/2015,1416.2072
5/11/2015,1244.9661
5/12/2015,1168.2413
5/13/2015,1698.1264
5/14/2015,2039.6124
5/15/2015,1189.4019
5/16/2015,1280.1559
5/17/2015,1176.8674
5/18/2015,2050.3284
5/19/2015,1234.5543
5/20/2015,1341.0283
5/21/2015,1957.4281
5/22/2015,1334.4325
5/23/2015,1262.1977
5/24/2015,1336.4755
5/25/2015,1898.5260
5/26/2015,1263.9780
5/27/2015,1406.0266
5/28/2015,1179.5756
5/29/2015,1326.6306
5/30/2015,1447.0471
5/31/2015,1158.2380
6/1/2015,2236.5815
6/2/2015,2391.3729
6/3/2015,2543.5569
6/4/2015,1356.2752
6/5/2015,1597.3979
6/6/2015,1431.5233
6/7/2015,1345.1900
6/8/2015,2418.0973
6/9/2015,1374.5218
6/10/2015,1741.0887
6/11/2015,1454.1858
6/12/2015,2256.6540
6/13/2015,1403.0895
6/14/2015,2422.5306
6/15/2015,1668.3486
6/16/2015,1559.5729
6/17/2015,1345.1900
6/18/2015,2418.0983
6/19/2015,1513.6566
6/20/2015,1445.1985
6/21/2015,1526.7058
6/22/2015,2391.3729
6/23/2015,1345.1900
6/24/2015,1371.9318
6/25/2015,2501.8406
