DATE,Industrial Grey WF_Panching Area
1/1/2015,53.3178
1/2/2015,55.0352
1/3/2015,60.8284
1/4/2015,57.9318
1/5/2015,58.8218
1/6/2015,72.0341
1/7/2015,51.4758
1/8/2015,53.3178
1/9/2015,58.7053
1/10/2015,136.2225
1/11/2015,126.53654
1/12/2015,140.3581
1/13/2015,157.148
1/14/2015,49.2335
1/15/2015,66.6101
1/16/2015,55.0352
1/17/2015,60.8284
1/18/2015,53.3178
1/19/2015,74.4491
1/20/2015,47.986
1/21/2015,58.6496
1/22/2015,53.3192
1/23/2015,72.0341
1/24/2015,50.5569
1/25/2015,55.8787
1/26/2015,55.7328
1/27/2015,47.986
1/28/2015,58.6496
1/29/2015,57.9318
1/30/2015,53.3178
1/31/2015,78.7328
2/1/2015,793.4706
2/2/2015,325.1183
2/3/2015,366.6227
2/4/2015,345.8705
2/5/2015,850.9424
2/6/2015,403.3423
2/7/2015,507.4091
2/8/2015,403.3416
2/9/2015,642.7416
2/10/2015,865.9836
2/11/2015,345.8555
2/12/2015,404.9438
2/13/2015,494.9313
2/14/2015,463.3655
2/15/2015,345.9555
2/16/2015,793.5556
2/17/2015,345.9555
2/18/2015,416.8553
2/19/2015,384.1867
2/20/2015,345.8697
2/21/2015,449.9347
2/22/2015,910.9648
2/23/2015,318.2001
2/24/2015,373.5393
2/25/2015,437.2247
2/26/2015,311.2827
2/27/2015,380.4567
2/28/2015,806.8986
3/1/2015,42.6343
3/2/2015,42.6343
3/3/2015,42.6343
3/4/2015,42.5243
3/5/2015,50.7933
3/6/2015,108.9844
3/7/2015,42.6543
3/8/2015,42.5243
3/9/2015,42.5143
3/10/2015,42.5143
3/11/2015,107.0244
3/12/2015,107.0444
3/13/2015,42.6543
3/14/2015,59.5553
3/15/2015,42.6543
3/16/2015,50.9233
3/17/2015,108.0544
3/18/2015,43.6443
3/19/2015,43.6443
3/20/2015,46.172
3/21/2015,63.8176
3/22/2015,42.6543
3/23/2015,57.3673
3/24/2015,51.8233
3/25/2015,42.6543
3/26/2015,44.5843
3/27/2015,42.6543
3/28/2015,42.6543
3/29/2015,65.8963
3/30/2015,42.6543
3/31/2015,57.6273
4/1/2015,214.3841
4/2/2015,124.7174
4/3/2015,124.7174
4/4/2015,127.4074
4/5/2015,214.3841
4/6/2015,145.5649
4/7/2015,124.7174
4/8/2015,138.9206
4/9/2015,138.9206
4/10/2015,159.7681
4/11/2015,136.2306
4/12/2015,136.2306
4/13/2015,157.0781
4/14/2015,124.7174
4/15/2015,225.8973
4/16/2015,225.8973
4/17/2015,138.9206
4/18/2015,148.2549
4/19/2015,145.5649
4/20/2015,214.3841
4/21/2015,136.2306
4/22/2015,237.9216
4/23/2015,217.0741
4/24/2015,217.0741
4/25/2015,148.2549
