DATE,Industrial Grey WF_Semambu Area
1/1/2015,707.1576
1/2/2015,380.7772
1/3/2015,629.5796
1/4/2015,682.8821
1/5/2015,671.7504
1/6/2015,608.4016
1/7/2015,915.0225
1/8/2015,555.0981
1/9/2015,618.4279
1/10/2015,555.0991
1/11/2015,915.0225
1/12/2015,619.0479
1/13/2015,550.0891
1/14/2015,947.355
1/15/2015,597.2699
1/16/2015,629.5796
1/17/2015,915.0225
1/18/2015,543.6674
1/19/2015,852.0796
1/20/2015,968.324
1/21/2015,599.0991
1/22/2015,543.9704
1/23/2015,968.325
1/24/2015,683.6281
1/25/2015,968.3242
1/26/2015,543.9674
1/27/2015,618.4479
1/28/2015,686.2669
1/29/2015,1143.7781
1/30/2015,597.2699
1/31/2015,543.9674
2/1/2015,3528.6913
2/2/2015,6491.1711
2/3/2015,4043.1301
2/4/2015,4637.7783
2/5/2015,6491.1711
2/6/2015,7085.9711
2/7/2015,6491.1711
2/8/2015,4043.1301
2/9/2015,3528.6913
2/10/2015,5397.2139
2/11/2015,4548.9039
2/12/2015,6526.1711
2/13/2015,3766.6913
2/14/2015,3617.5657
2/15/2015,4549.7039
2/16/2015,6580.0455
2/17/2015,3528.6913
2/18/2015,4123.3295
2/19/2015,4637.8383
2/20/2015,7085.8193
2/21/2015,3528.6913
2/22/2015,3617.5657
2/23/2015,7005.6099
2/24/2015,3954.7557
2/25/2015,4212.2139
2/26/2015,6916.7355
2/27/2015,7085.8693
2/28/2015,4123.3395
3/1/2015,774.6595
3/2/2015,477.8158
3/3/2015,800.5072
3/4/2015,621.9228
3/5/2015,435.1738
3/6/2015,843.1492
3/7/2015,435.1738
3/8/2015,494.7582
3/9/2015,834.2439
3/10/2015,736.9228
3/11/2015,477.8158
3/12/2015,494.6582
3/13/2015,800.5672
3/14/2015,469.7211
3/15/2015,435.1738
3/16/2015,732.0175
3/17/2015,546.8055
3/18/2015,435.1738
3/19/2015,477.8158
3/20/2015,774.6595
3/21/2015,503.7085
3/22/2015,435.1738
3/23/2015,834.2919
3/24/2015,444.0791
3/25/2015,470.7582
3/26/2015,435.1738
3/27/2015,444.3751
3/28/2015,478.6912
3/29/2015,391.6294
3/30/2015,413.4123
3/31/2015,456.9219
4/1/2015,1262.7336
4/2/2015,1708.4042
4/3/2015,1299.7347
4/4/2015,1618.1125
4/5/2015,1404.504
4/6/2015,2197.7688
4/7/2015,2197.7688
