Monthly,Total Industrial WF
Jan-15,2159943.69
Feb-15,1766403.68
Mar-15,1966442.952
Apr-15,1731704.414
May-15,1924467.938
Jun-15,1443074.354
Jul-15,2043819.128
Aug-15,3773293.128
Sep-15,1972570.629
Oct-15,2162347.693
Nov-15,1972269.23
Dec-15,1899997.67
Jan-16,2009077.12
Feb-16,1954379.913
Mar-16,1721295.807
Apr-16,1659325.34
May-16,1891023.013
Jun-16,1646496.943
Jul-16,2354595.05
Aug-16,4260913.947
Sep-16,4068454.68
Oct-16,2631877.14
Nov-16,2511679.7
Dec-16,2512749.277
Jan-17,2209350.92
Feb-17,1975086.72
Mar-17,2260465.24
Apr-17,2265451.12
May-17,2143978.64
Jun-17,1898178.72
Jul-17,2571516.83
Aug-17,2067059.38
Sep-17,1974946.02
Oct-17,2167392.32
Nov-17,3594199.1
Dec-17,2167960.73
Jan-18,2276715.221
Feb-18,1927923.611
Mar-18,1947975.547
Apr-18,2122838.278
May-18,1885447.965
Jun-18,1933963.018
Jul-18,2447810.066
Aug-18,1939582.48
Sep-18,2343355.872
Oct-18,2368314.438
Nov-18,1966944.254
Dec-18,2222637.008
Jan-19,2816195.367
Feb-19,2733938.51
Mar-19,2799294.653
Apr-19,2566311.489
May-19,2535923.855
Jun-19,3034607.066
Jul-19,2648081.249
Aug-19,2543998.456
Sep-19,2679427.864
Oct-19,4466766.606
Nov-19,2243643.598
Dec-19,2108799.689
